Pin Height,Recognition_Load,Handness,Force_Profile,Electronic_Component
A,1,1,click,RT03
A,1,1,drop,RT03
A,1,1,click,RT02
A,1,1,increasing,RT03
A,1,1,drop,RT01
A,1,1,empty,RT03
A,1,1,high,RT01
A,1,1,medium,RT01
A,1,1,decreasing,RT01
A,1,1,decreasing,RT03
A,1,1,high,RT02
A,1,1,high,RT03
A,1,1,decreasing,RT02
A,1,1,low,RT02
A,1,1,low,RT01
C,0,0,increasing,RT09
C,0,0,medium,RT08
C,0,0,click,RT08
C,0,0,medium,RT09
C,0,0,empty,RT07
C,0,0,decreasing,RT08
C,0,0,empty,RT09
C,0,0,decreasing,RT07
C,0,0,drop,RT08
C,0,0,low,RT09
C,0,0,medium,RT07
C,0,0,empty,RT08
C,0,0,high,RT09
C,0,0,low,RT07
C,0,0,click,RT09
C,0,0,decreasing,RT09
C,0,0,low,RT08
C,0,0,high,RT08
C,0,0,increasing,RT07
C,0,0,increasing,RT08
C,0,0,drop,RT09
C,0,0,drop,RT07
C,0,0,high,RT07
C,0,0,click,RT07
C,1,0,click,RT09
C,1,0,low,RT08
C,1,0,medium,RT07
C,1,0,drop,RT08
C,1,0,click,RT07
C,1,0,drop,RT07
C,1,0,low,RT07
C,1,0,decreasing,RT07
C,1,0,increasing,RT08
C,1,0,click,RT08
C,1,0,decreasing,RT09
C,1,0,low,RT09
C,1,0,increasing,RT09
C,1,0,empty,RT09
C,1,0,empty,RT07
C,1,0,drop,RT09
C,1,0,decreasing,RT08
C,1,0,high,RT08
C,1,0,increasing,RT07
C,1,0,high,RT07
C,1,0,medium,RT09
C,1,0,high,RT09
C,1,0,empty,RT08
C,1,0,medium,RT08
C,0,1,low,RT09
C,0,1,click,RT09
C,0,1,low,RT08
C,0,1,click,RT07
C,0,1,increasing,RT09
C,0,1,medium,RT09
C,0,1,increasing,RT07
C,0,1,decreasing,RT08
C,0,1,high,RT07
C,0,1,high,RT09
C,0,1,empty,RT09
C,0,1,increasing,RT08
C,0,1,decreasing,RT07
C,0,1,click,RT08
C,0,1,low,RT07
C,0,1,drop,RT07
C,0,1,empty,RT07
C,0,1,empty,RT08
C,0,1,medium,RT07
C,0,1,drop,RT08
C,0,1,decreasing,RT09
C,0,1,medium,RT08
C,0,1,drop,RT09
C,0,1,high,RT08
C,1,1,increasing,RT07
C,1,1,click,RT08
C,1,1,click,RT07
C,1,1,medium,RT07
C,1,1,decreasing,RT07
C,1,1,medium,RT09
C,1,1,click,RT09
C,1,1,increasing,RT08
C,1,1,empty,RT07
C,1,1,drop,RT08
C,1,1,drop,RT09
C,1,1,low,RT08
C,1,1,empty,RT08
C,1,1,drop,RT07
C,1,1,medium,RT08
C,1,1,decreasing,RT09
C,1,1,low,RT09
C,1,1,empty,RT09
C,1,1,high,RT07
C,1,1,high,RT09
C,1,1,decreasing,RT08
C,1,1,high,RT08
C,1,1,low,RT07
C,1,1,increasing,RT09
B,0,0,empty,RT06
B,0,0,decreasing,RT04
B,0,0,medium,RT04
B,0,0,low,RT05
B,0,0,click,RT06
B,0,0,click,RT04
B,0,0,medium,RT05
B,0,0,low,RT04
B,0,0,click,RT05
B,0,0,increasing,RT06
B,0,0,medium,RT06
B,0,0,empty,RT05
B,0,0,low,RT06
B,0,0,empty,RT04
B,0,0,high,RT04
B,0,0,increasing,RT05
B,0,0,high,RT05
B,0,0,decreasing,RT06
B,0,0,decreasing,RT05
B,0,0,drop,RT04
B,0,0,drop,RT05
B,0,0,increasing,RT04
B,0,0,high,RT06
B,0,0,drop,RT06
B,0,1,high,RT06
B,0,1,click,RT05
B,0,1,low,RT04
B,0,1,click,RT06
B,0,1,high,RT05
B,0,1,low,RT05
B,0,1,increasing,RT04
B,0,1,drop,RT04
B,0,1,drop,RT05
B,0,1,increasing,RT05
B,0,1,decreasing,RT06
B,0,1,medium,RT06
B,0,1,increasing,RT06
B,0,1,decreasing,RT05
B,0,1,empty,RT06
B,0,1,empty,RT05
B,0,1,low,RT06
B,0,1,medium,RT05
B,0,1,high,RT04
B,0,1,empty,RT04
B,0,1,decreasing,RT04
B,0,1,drop,RT06
B,0,1,click,RT04
B,0,1,medium,RT04
B,1,0,empty,RT06
B,1,0,click,RT04
B,1,0,high,RT05
B,1,0,high,RT06
B,1,0,click,RT06
B,1,0,increasing,RT06
B,1,0,decreasing,RT04
B,1,0,empty,RT04
B,1,0,drop,RT04
B,1,0,low,RT04
B,1,0,medium,RT05
B,1,0,decreasing,RT06
B,1,0,increasing,RT05
B,1,0,decreasing,RT05
B,1,0,low,RT06
B,1,0,increasing,RT04
B,1,0,drop,RT06
B,1,0,medium,RT04
B,1,0,click,RT05
B,1,0,low,RT05
B,1,0,medium,RT06
B,1,0,high,RT04
B,1,0,drop,RT05
B,1,0,empty,RT05
B,1,1,click,RT04
B,1,1,click,RT06
B,1,1,medium,RT05
B,1,1,decreasing,RT06
B,1,1,increasing,RT05
B,1,1,increasing,RT06
B,1,1,decreasing,RT04
B,1,1,click,RT05
B,1,1,low,RT04
B,1,1,empty,RT04
B,1,1,high,RT06
B,1,1,empty,RT05
B,1,1,drop,RT05
B,1,1,drop,RT06
B,1,1,medium,RT06
B,1,1,low,RT06
B,1,1,decreasing,RT05
B,1,1,empty,RT06
B,1,1,medium,RT04
B,1,1,high,RT05
B,1,1,high,RT04
B,1,1,increasing,RT04
B,1,1,low,RT05
B,1,1,drop,RT04
