['Condition', 'Force_Profile', 'Repeated_Times']
['B', 'FP06', 'RT03']
['B', 'FP06', 'RT07']
['B', 'FP02', 'RT02']
['B', 'FP03', 'RT07']
['B', 'FP08', 'RT05']
['B', 'FP07', 'RT02']
['B', 'FP07', 'RT06']
['B', 'FP06', 'RT01']
['B', 'FP05', 'RT02']
['B', 'FP08', 'RT08']
['B', 'FP08', 'RT04']
['B', 'FP04', 'RT02']
['B', 'FP07', 'RT02']
['B', 'FP01', 'RT02']
['B', 'FP03', 'RT02']
['B', 'FP06', 'RT06']
['B', 'FP06', 'RT05']
['B', 'FP04', 'RT09']
['B', 'FP07', 'RT08']
['B', 'FP07', 'RT07']
['B', 'FP02', 'RT07']
['B', 'FP05', 'RT01']
['B', 'FP01', 'RT08']
['B', 'FP05', 'RT06']
['B', 'FP07', 'RT05']
['B', 'FP05', 'RT04']
['B', 'FP01', 'RT01']
['B', 'FP02', 'RT03']
['B', 'FP04', 'RT08']
['B', 'FP01', 'RT05']
['B', 'FP07', 'RT01']
['B', 'FP08', 'RT09']
['B', 'FP01', 'RT06']
['B', 'FP05', 'RT09']
['B', 'FP05', 'RT05']
['B', 'FP02', 'RT04']
['B', 'FP03', 'RT04']
['B', 'FP06', 'RT02']
['B', 'FP05', 'RT07']
['B', 'FP06', 'RT08']
['B', 'FP04', 'RT04']
['B', 'FP07', 'RT03']
['B', 'FP07', 'RT04']
['B', 'FP01', 'RT03']
['B', 'FP08', 'RT06']
['B', 'FP08', 'RT02']
['B', 'FP06', 'RT09']
['B', 'FP05', 'RT08']
['B', 'FP04', 'RT01']
['B', 'FP03', 'RT01']
['B', 'FP01', 'RT07']
['B', 'FP08', 'RT07']
['B', 'FP04', 'RT06']
['B', 'FP01', 'RT04']
['B', 'FP07', 'RT09']
['B', 'FP08', 'RT03']
['B', 'FP02', 'RT08']
['B', 'FP04', 'RT03']
['B', 'FP03', 'RT09']
['B', 'FP03', 'RT06']
['B', 'FP03', 'RT05']
['B', 'FP02', 'RT06']
['B', 'FP02', 'RT05']
['B', 'FP04', 'RT07']
['B', 'FP02', 'RT01']
['B', 'FP03', 'RT02']
['B', 'FP03', 'RT03']
['B', 'FP02', 'RT02']
['B', 'FP03', 'RT08']
['B', 'FP01', 'RT09']
['C', 'FP02', 'RT09']
['C', 'FP02', 'RT02']
['C', 'FP04', 'RT09']
['C', 'FP08', 'RT02']
['C', 'FP01', 'RT08']
['C', 'FP01', 'RT02']
['C', 'FP06', 'RT09']
['C', 'FP03', 'RT02']
['C', 'FP01', 'RT03']
['C', 'FP02', 'RT05']
['C', 'FP07', 'RT05']
['C', 'FP06', 'RT02']
['C', 'FP07', 'RT07']
['C', 'FP08', 'RT09']
['C', 'FP01', 'RT01']
['C', 'FP06', 'RT07']
['C', 'FP02', 'RT02']
['C', 'FP05', 'RT08']
['C', 'FP04', 'RT06']
['C', 'FP04', 'RT04']
['C', 'FP02', 'RT06']
['C', 'FP02', 'RT07']
['C', 'FP07', 'RT03']
['C', 'FP07', 'RT08']
['C', 'FP06', 'RT08']
['C', 'FP03', 'RT04']
['C', 'FP08', 'RT04']
['C', 'FP02', 'RT03']
['C', 'FP05', 'RT04']
['C', 'FP05', 'RT09']
['C', 'FP05', 'RT01']
['C', 'FP01', 'RT05']
['C', 'FP04', 'RT01']
['C', 'FP05', 'RT02']
['C', 'FP03', 'RT09']
['C', 'FP04', 'RT02']
['C', 'FP06', 'RT02']
['C', 'FP08', 'RT07']
['C', 'FP03', 'RT06']
['C', 'FP05', 'RT03']
['C', 'FP07', 'RT02']
['C', 'FP07', 'RT06']
['C', 'FP06', 'RT06']
['C', 'FP04', 'RT02']
['C', 'FP03', 'RT03']
['C', 'FP05', 'RT02']
['C', 'FP07', 'RT01']
['C', 'FP05', 'RT05']
['C', 'FP08', 'RT03']
['C', 'FP07', 'RT04']
['C', 'FP08', 'RT08']
['C', 'FP02', 'RT01']
['C', 'FP01', 'RT07']
['C', 'FP04', 'RT07']
['C', 'FP03', 'RT05']
['C', 'FP06', 'RT04']
['C', 'FP01', 'RT09']
['C', 'FP01', 'RT02']
['C', 'FP04', 'RT08']
['C', 'FP07', 'RT09']
['C', 'FP02', 'RT04']
['C', 'FP06', 'RT03']
['C', 'FP08', 'RT05']
['C', 'FP05', 'RT06']
['C', 'FP03', 'RT08']
['C', 'FP04', 'RT03']
['C', 'FP06', 'RT05']
['C', 'FP01', 'RT04']
['C', 'FP08', 'RT06']
['C', 'FP01', 'RT06']
['C', 'FP08', 'RT02']
['C', 'FP07', 'RT02']
['C', 'FP03', 'RT02']
['C', 'FP06', 'RT01']
['C', 'FP02', 'RT08']
['C', 'FP08', 'RT01']
['C', 'FP03', 'RT01']
['C', 'FP04', 'RT05']
['C', 'FP05', 'RT07']
['C', 'FP03', 'RT07']
['D', 'FP04', 'RT05']
['D', 'FP07', 'RT09']
['D', 'FP02', 'RT03']
['D', 'FP07', 'RT01']
['D', 'FP07', 'RT02']
['D', 'FP06', 'RT03']
['D', 'FP05', 'RT07']
['D', 'FP06', 'RT05']
['D', 'FP06', 'RT07']
['D', 'FP08', 'RT04']
['D', 'FP08', 'RT05']
['D', 'FP06', 'RT04']
['D', 'FP05', 'RT01']
['D', 'FP03', 'RT02']
['D', 'FP06', 'RT06']
['D', 'FP03', 'RT05']
['D', 'FP05', 'RT02']
['D', 'FP02', 'RT01']
['D', 'FP07', 'RT07']
['D', 'FP02', 'RT06']
['D', 'FP02', 'RT04']
['D', 'FP02', 'RT08']
['D', 'FP05', 'RT06']
['D', 'FP06', 'RT01']
['D', 'FP05', 'RT05']
['D', 'FP08', 'RT02']
['D', 'FP06', 'RT02']
['D', 'FP05', 'RT03']
['D', 'FP08', 'RT07']
['D', 'FP03', 'RT02']
['D', 'FP01', 'RT07']
['D', 'FP07', 'RT05']
['D', 'FP04', 'RT06']
['D', 'FP01', 'RT09']
['D', 'FP04', 'RT09']
['D', 'FP02', 'RT09']
['D', 'FP01', 'RT06']
['D', 'FP03', 'RT04']
['D', 'FP08', 'RT03']
['D', 'FP04', 'RT04']
['D', 'FP06', 'RT09']
['D', 'FP08', 'RT01']
['D', 'FP01', 'RT04']
['D', 'FP05', 'RT08']
['D', 'FP07', 'RT03']
['D', 'FP04', 'RT01']
['D', 'FP01', 'RT03']
['D', 'FP03', 'RT08']
['D', 'FP07', 'RT04']
['D', 'FP03', 'RT03']
['D', 'FP02', 'RT02']
['D', 'FP03', 'RT01']
['D', 'FP07', 'RT02']
['D', 'FP07', 'RT06']
['D', 'FP05', 'RT02']
['D', 'FP02', 'RT05']
['D', 'FP07', 'RT08']
['D', 'FP05', 'RT09']
['D', 'FP06', 'RT08']
['D', 'FP04', 'RT02']
['D', 'FP06', 'RT02']
['D', 'FP02', 'RT02']
['D', 'FP01', 'RT02']
['D', 'FP03', 'RT07']
['D', 'FP08', 'RT09']
['D', 'FP01', 'RT05']
['D', 'FP02', 'RT07']
['D', 'FP04', 'RT08']
['D', 'FP01', 'RT08']
['D', 'FP05', 'RT04']
['D', 'FP04', 'RT07']
['D', 'FP08', 'RT02']
['D', 'FP03', 'RT09']
['D', 'FP08', 'RT08']
['D', 'FP04', 'RT02']
['D', 'FP04', 'RT03']
['D', 'FP01', 'RT01']
['D', 'FP08', 'RT06']
['D', 'FP01', 'RT02']
['D', 'FP03', 'RT06']
